Ensembl Gene ID	Chromosome	Gene Start 	Gene End 	Strand	Gene Name
ENSG00000231702	1	1008076	1008229	-1	RP11-54O7.10
ENSG00000224969	1	1011997	1013193	-1	RP11-54O7.11
ENSG00000188157	1	1020123	1056118	1	AGRN
ENSG00000242590	1	1055033	1056116	1	RP11-54O7.14
ENSG00000217801	1	1059734	1069355	1	RP11-465B22.3
ENSG00000273443	1	1062208	1063288	-1	RP11-54O7.18
ENSG00000237330	1	1070966	1074307	-1	RNF223
ENSG00000131591	1	1081818	1116361	-1	C1orf159
ENSG00000223823	1	1137017	1144056	1	LINC01342
ENSG00000207730	1	1167092	1167202	1	MIR200B
ENSG00000207607	1	1167846	1167956	1	MIR200A
ENSG00000198976	1	1169005	1169087	1	MIR429
ENSG00000272141	1	1169357	1170343	1	RP11-465B22.8
ENSG00000205231	1	1173056	1179555	-1	TTLL10-AS1
ENSG00000162571	1	1173884	1197935	1	TTLL10
ENSG00000186891	1	1203508	1206691	-1	TNFRSF18
ENSG00000186827	1	1211326	1214138	-1	TNFRSF4
ENSG00000078808	1	1216908	1232031	-1	SDF4
ENSG00000176022	1	1232265	1235041	1	B3GALT6
ENSG00000184163	1	1242446	1246722	-1	FAM132A
ENSG00000260179	1	1249777	1251334	-1	RP5-902P8.12
ENSG00000160087	1	1253909	1273885	-1	UBE2J2
ENSG00000230415	1	1275223	1280420	1	RP5-902P8.10
ENSG00000162572	1	1280436	1292029	1	SCNN1D
ENSG00000131584	1	1292376	1309609	-1	ACAP3
ENSG00000278073	1	1296110	1296170	-1	MIR6726
ENSG00000169972	1	1308567	1311677	1	PUSL1
ENSG00000127054	1	1311585	1324691	-1	CPSF3L
ENSG00000274153	1	1312502	1312566	-1	MIR6727
ENSG00000240731	1	1317581	1318689	-1	RP5-890O3.9
ENSG00000224051	1	1324756	1328897	1	CPTP
ENSG00000169962	1	1331314	1335306	1	TAS1R3
ENSG00000107404	1	1335276	1349350	-1	DVL1
ENSG00000275884	1	1339650	1339708	-1	MIR6808
ENSG00000162576	1	1352689	1361777	-1	MXRA8
ENSG00000175756	1	1373730	1375495	-1	AURKAIP1
ENSG00000223663	1	1378666	1379032	1	RP5-890O3.3
ENSG00000221978	1	1385711	1399338	-1	CCNL2
ENSG00000224870	1	1399522	1402046	1	RP4-758J18.2
ENSG00000242485	1	1401908	1407313	-1	MRPL20
ENSG00000264293	1	1405460	1405752	-1	RN7SL657P
ENSG00000272455	1	1409096	1410618	1	RP4-758J18.13
ENSG00000235098	1	1418420	1421769	-1	ANKRD65
ENSG00000225905	1	1420245	1422691	1	RP4-758J18.7
ENSG00000205116	1	1426128	1427787	1	TMEM88B
ENSG00000225285	1	1430539	1434573	-1	RP4-758J18.10
ENSG00000179403	1	1434861	1442882	1	VWA1
ENSG00000215915	1	1449689	1470158	1	ATAD3C
ENSG00000160072	1	1471769	1497848	1	ATAD3B
ENSG00000197785	1	1512151	1534687	1	ATAD3A
ENSG00000205090	1	1535174	1540453	-1	TMEM240
ENSG00000160075	1	1541673	1574869	-1	SSU72
ENSG00000215014	1	1574975	1577075	1	RP5-832C2.5
ENSG00000279244	1	1579756	1580046	1	AL645728.1
ENSG00000274481	1	1583510	1583909	-1	RP11-345P4.11
ENSG00000228594	1	1598011	1600096	-1	C1orf233
ENSG00000272106	1	1613758	1615795	-1	RP11-345P4.9
ENSG00000197530	1	1615415	1630610	1	MIB2
ENSG00000189409	1	1632095	1701810	1	MMP23B
ENSG00000248333	1	1635227	1722818	-1	CDK11B
ENSG00000272004	1	1659325	1662602	1	RP11-345P4.10
ENSG00000189339	1	1659529	1692728	-1	SLC35E2B
ENSG00000269737	1	1671990	1673411	1	RP11-345P4.7
ENSG00000269227	1	1673275	1674397	1	RP11-345P4.6
ENSG00000215914	1	1699942	1701782	1	MMP23A
ENSG00000008128	1	1702730	1724324	-1	CDK11A
ENSG00000268575	1	1702736	1737688	-1	RP1-283E3.8
ENSG00000227775	1	1724512	1737251	1	RP1-283E3.4
ENSG00000215790	1	1724838	1745992	-1	SLC35E2
ENSG00000008130	1	1751232	1780457	-1	NADK
ENSG00000078369	1	1785285	1891117	-1	GNB1
ENSG00000231050	1	1891471	1892658	1	RP1-140A9.1
ENSG00000169885	1	1914827	1917296	1	CALML6
ENSG00000178821	1	1917590	1919273	-1	TMEM52
ENSG00000142609	1	1921951	2003837	-1	CFAP74
ENSG00000233542	1	2013213	2015530	-1	RP11-547D24.1
ENSG00000187730	1	2019324	2030751	1	GABRD
ENSG00000226969	1	2049203	2050070	-1	RP11-547D24.3
ENSG00000067606	1	2050470	2185395	1	PRKCZ
ENSG00000271806	1	2141084	2145279	-1	RP5-892K4.1
ENSG00000182873	1	2181794	2184389	-1	RP11-181G12.2
ENSG00000162585	1	2184461	2212720	-1	C1orf86
ENSG00000234396	1	2212523	2220738	1	RP11-181G12.4
ENSG00000277082	1	2222427	2222500	-1	AL590822.1
ENSG00000157933	1	2228695	2310119	1	SKI
ENSG00000116151	1	2321253	2391707	-1	MORN1
ENSG00000272161	1	2326201	2326693	-1	RP4-713A8.1
ENSG00000269896	1	2350414	2352820	-1	RP4-740C4.5
ENSG00000272420	1	2363061	2363628	-1	RP4-740C4.7
ENSG00000157916	1	2391775	2405444	1	RER1
ENSG00000157911	1	2403964	2413797	-1	PEX10
ENSG00000149527	1	2425980	2505530	1	PLCH2
ENSG00000224387	1	2492300	2493258	-1	RP3-395M20.2
ENSG00000229393	1	2493437	2494479	-1	RP3-395M20.3
ENSG00000157881	1	2508533	2526600	-1	PANK4
ENSG00000197921	1	2528745	2530245	-1	HES5
ENSG00000272449	1	2546465	2547460	1	RP3-395M20.12
ENSG00000238164	1	2549920	2557031	-1	RP3-395M20.8
ENSG00000157873	1	2555639	2565382	1	TNFRSF14
ENSG00000225931	1	2566410	2569888	1	RP3-395M20.7
ENSG00000228037	1	2581560	2584533	1	RP3-395M20.9
ENSG00000157870	1	2586491	2591469	1	FAM213B
ENSG00000142606	1	2590639	2632990	-1	MMEL1
ENSG00000237058	1	2632568	2636620	1	RP13-436F16.1
ENSG00000215912	1	2635976	2801721	-1	TTC34
ENSG00000233234	1	2811850	2812692	-1	RP11-740P5.2
ENSG00000231630	1	2814432	2814998	-1	RP11-740P5.3
ENSG00000169717	1	3021483	3022903	1	ACTRT2
ENSG00000177133	1	3059615	3068437	-1	LINC00982
ENSG00000142611	1	3069168	3438621	1	PRDM16
ENSG00000226286	1	3132927	3133709	-1	RP1-163G9.2
ENSG00000279839	1	3205988	3208664	1	RP11-193J6.1
ENSG00000272235	1	3306636	3310096	-1	RP11-22L13.1
ENSG00000130762	1	3454426	3481113	1	ARHGEF16
ENSG00000272088	1	3487246	3487627	1	RP11-168F9.2
ENSG00000162591	1	3489920	3611495	-1	MEGF6
ENSG00000207776	1	3560695	3560790	-1	MIR551A
ENSG00000238260	1	3623190	3624743	-1	RP11-46F15.2
ENSG00000158109	1	3625002	3630127	1	TPRG1L
ENSG00000116213	1	3630767	3652761	-1	WRAP73
ENSG00000078900	1	3652520	3736201	1	TP73
ENSG00000227589	1	3658938	3668772	-1	RP5-1092A11.5
ENSG00000235131	1	3712200	3714298	-1	RP5-1092A11.2
ENSG00000227372	1	3735601	3747336	-1	TP73-AS1
ENSG00000276189	1	3736943	3737103	1	TP73-AS1
ENSG00000162592	1	3752398	3771645	1	CCDC27
ENSG00000235169	1	3772788	3775982	1	SMIM1
ENSG00000130764	1	3778558	3796504	-1	LRRC47
ENSG00000266075	1	3782815	3783111	1	RN7SL574P
ENSG00000272153	1	3785008	3785538	1	RP1-286D6.5
ENSG00000116198	1	3812081	3857214	-1	CEP104
ENSG00000169598	1	3857267	3885429	1	DFFB
ENSG00000198912	1	3889125	3900293	-1	C1orf174
ENSG00000236423	1	3900372	3917225	1	LINC01134
ENSG00000233304	1	3940613	3955262	1	LINC01346
ENSG00000226374	1	3947149	3948980	-1	RP13-614K11.2
ENSG00000229280	1	4175528	4175899	-1	RP11-374C13.1
ENSG00000235054	1	4412051	4424687	1	RP5-1166F10.1
ENSG00000227169	1	4551735	4552145	-1	RP1-37J18.1
ENSG00000232596	1	4571548	4583421	1	RP1-37J18.2
ENSG00000196581	1	4654732	4792534	1	AJAP1
ENSG00000277731	1	4892068	4892162	-1	AL137795.1
ENSG00000231510	1	5086459	5090899	-1	RP11-542C10.1
ENSG00000260972	1	5492978	5494674	1	RP1-58B11.1
ENSG00000264341	1	5564071	5564143	1	MIR4417
ENSG00000236948	1	5587368	5668295	-1	RP11-154H17.1
ENSG00000216045	1	5815871	5815959	-1	AL356693.1
ENSG00000264101	1	5862672	5862741	-1	MIR4689
ENSG00000131697	1	5862810	5992473	-1	NPHP4
ENSG00000266687	1	5893839	5893924	-1	AL356261.1
ENSG00000069424	1	5991466	6101193	1	KCNAB2
ENSG00000116254	1	6101793	6180123	-1	CHD5
ENSG00000116251	1	6181269	6209389	-1	RPL22
ENSG00000226944	1	6204840	6205780	-1	RP1-120G22.11
ENSG00000158286	1	6205475	6221299	1	RNF207
ENSG00000116237	1	6221193	6235972	-1	ICMT
ENSG00000225077	1	6236240	6239444	1	LINC00337
ENSG00000173673	1	6244192	6245578	1	HES3
ENSG00000158292	1	6247346	6260975	-1	GPR153
ENSG00000097021	1	6264269	6394391	-1	ACOT7
ENSG00000271746	1	6393555	6394391	1	RP1-202O8.3
ENSG00000069812	1	6412418	6424670	-1	HES2
ENSG00000187017	1	6424788	6461370	1	ESPN
ENSG00000265392	1	6429834	6429896	-1	MIR4252
ENSG00000231868	1	6443034	6447006	-1	RP1-202O8.2
ENSG00000215788	1	6461151	6466195	-1	TNFRSF25
ENSG00000171680	1	6466092	6520061	-1	PLEKHG5
ENSG00000162408	1	6521347	6554535	-1	NOL9
ENSG00000253022	1	6540854	6540964	1	RNU6-731P
ENSG00000229519	1	6547905	6548619	1	RP11-58A11.2
ENSG00000173662	1	6555181	6579757	1	TAS1R1
ENSG00000204859	1	6580001	6589280	1	ZBTB48
ENSG00000162413	1	6590724	6614607	-1	KLHL21
ENSG00000116273	1	6613685	6624033	1	PHF13
ENSG00000041988	1	6624866	6635586	1	THAP3
ENSG00000007923	1	6634168	6701924	-1	DNAJC11
ENSG00000228750	1	6724637	6730012	1	RP11-242F24.1
ENSG00000237436	1	6783892	6784843	-1	RP11-312B8.1
ENSG00000171735	1	6785324	7769706	1	CAMTA1
ENSG00000227950	1	6834333	6834618	-1	RP11-312B8.2
ENSG00000237365	1	7008376	7014279	-1	RP11-334N17.1
ENSG00000207056	1	7219360	7219524	1	RNU1-8P
ENSG00000237402	1	7368942	7370270	1	CAMTA1-IT1
ENSG00000237728	1	7382487	7389754	-1	RP3-453P22.2
ENSG00000225126	1	7441096	7441554	-1	RP4-549F15.1
ENSG00000270171	1	7693124	7694844	-1	RP11-338N10.1
ENSG00000270035	1	7698303	7698872	-1	RP11-338N10.2
ENSG00000269978	1	7700704	7700970	-1	RP11-338N10.3
ENSG00000049245	1	7771269	7781432	1	VAMP3
ENSG00000269925	1	7776383	7776775	1	RP3-467L1.6
ENSG00000049246	1	7784320	7845177	1	PER3
ENSG00000236266	1	7810242	7827342	-1	RP3-467L1.4
ENSG00000049247	1	7843083	7853512	-1	UTS2
ENSG00000049249	1	7915894	7943165	-1	TNFRSF9
ENSG00000270330	1	7942372	7942726	1	RP5-892F13.2
ENSG00000116288	1	7954291	7985505	1	PARK7
ENSG00000200344	1	7982881	7982983	-1	Y_RNA
ENSG00000116285	1	8004404	8026308	-1	ERRFI1
ENSG00000238290	1	8026738	8122702	1	RP11-431K24.1
ENSG00000232848	1	8057245	8058463	-1	CTA-215D11.4
ENSG00000229305	1	8189824	8192770	1	RP11-431K24.2
ENSG00000200975	1	8206434	8206597	-1	RNU1-7P
ENSG00000227634	1	8208672	8215210	1	RP11-431K24.3
ENSG00000233645	1	8218190	8220529	-1	RP11-431K24.4
ENSG00000251977	1	8292157	8292263	-1	RNU6-991P
ENSG00000162426	1	8317826	8344167	1	SLC45A1
ENSG00000252254	1	8328067	8328179	1	Y_RNA
ENSG00000142599	1	8352397	8817643	-1	RERE
ENSG00000232912	1	8424645	8434838	1	RP5-1115A15.1
ENSG00000221083	1	8511795	8511919	-1	SNORA77
ENSG00000270282	1	8512653	8513021	1	RP5-1115A15.2
ENSG00000234619	1	8750430	8751087	1	RPL7P11
ENSG00000224315	1	8786211	8786913	-1	RPL7P7
ENSG00000222511	1	8796571	8796673	-1	Y_RNA
ENSG00000226545	1	8798475	8799506	1	RP4-633I8.3
ENSG00000228423	1	8805860	8807051	-1	RP4-633I8.4
ENSG00000229716	1	8831007	8831375	1	RP11-185B14.1
ENSG00000074800	1	8861002	8879249	-1	ENO1
ENSG00000274258	1	8866502	8866590	-1	MIR6728
ENSG00000236269	1	8875788	8878007	-1	ENO1-IT1
ENSG00000230679	1	8878835	8879894	1	ENO1-AS1
ENSG00000201725	1	8883427	8883533	-1	RNU6-304P
ENSG00000238249	1	8893409	8894151	1	HMGN2P17
ENSG00000232208	1	8907393	8907744	-1	RP3-477M7.5
ENSG00000232663	1	8909742	8909904	1	RP3-477M7.6
ENSG00000131686	1	8945867	8975092	1	CA6
ENSG00000265141	1	8979576	8979874	-1	RN7SL451P
ENSG00000197241	1	9003300	9026345	-1	SLC2A7
ENSG00000142583	1	9035107	9088478	-1	SLC2A5
ENSG00000252404	1	9082696	9082879	1	SCARNA16
ENSG00000180758	1	9100305	9129170	-1	GPR157
ENSG00000207865	1	9151668	9151777	-1	MIR34A
ENSG00000228526	1	9182007	9202619	-1	RP3-510D11.1
ENSG00000234546	1	9182204	9192089	1	RP3-510D11.2
ENSG00000049239	1	9234775	9271337	1	H6PD
ENSG00000171621	1	9292880	9369532	1	SPSB1
ENSG00000252956	1	9437669	9437778	-1	RNA5SP40
ENSG00000235263	1	9501092	9503471	-1	RP13-392I16.1
ENSG00000171612	1	9539482	9585179	1	SLC25A33
ENSG00000231181	1	9576427	9576985	1	RP13-15M17.1
ENSG00000188807	1	9588922	9614873	1	TMEM201
ENSG00000171608	1	9651732	9729114	1	PIK3CD
ENSG00000179840	1	9652610	9654586	-1	PIK3CD-AS1
ENSG00000233268	1	9660828	9662626	-1	RP11-558F24.2
ENSG00000231789	1	9672426	9687555	-1	PIK3CD-AS2
ENSG00000171603	1	9729026	9824526	-1	CLSTN1
ENSG00000271264	1	9780822	9781240	1	MZT1P1
ENSG00000280113	1	9827610	9828258	-1	AL357140.1
ENSG00000178585	1	9848276	9910336	-1	CTNNBIP1
ENSG00000223989	1	9848318	9850154	1	RP11-84A14.5
ENSG00000162441	1	9922113	9943407	-1	LZIC
ENSG00000228150	1	9942923	9949974	1	RP11-84A14.4
ENSG00000173614	1	9943428	9985501	1	NMNAT1
ENSG00000202415	1	9947318	9947636	1	RN7SKP269
ENSG00000265521	1	9967381	9967458	1	MIR5697
ENSG00000241326	1	9983141	9984568	1	RP11-807G9.2
ENSG00000162444	1	9997206	10016020	1	RBP7
ENSG00000130939	1	10032832	10181239	1	UBE4B
ENSG00000224340	1	10054445	10054781	-1	RP11-496H15.2
ENSG00000233623	1	10058671	10059648	1	PGAM1P11
ENSG00000201746	1	10163268	10163374	1	RNU6-828P
ENSG00000054523	1	10210805	10381603	1	KIF1B
ENSG00000264881	1	10227718	10227803	1	MIR1273D
ENSG00000199562	1	10298966	10299072	1	RNU6-37P
ENSG00000264501	1	10306465	10306757	1	RN7SL731P
ENSG00000142657	1	10398592	10420144	1	PGD
ENSG00000271989	1	10429881	10430677	-1	RP4-736L20.3
ENSG00000251503	1	10430102	10452153	1	APITD1-CORT
ENSG00000175279	1	10430443	10442809	1	APITD1
ENSG00000241563	1	10449719	10451902	1	CORT
ENSG00000160049	1	10456522	10472526	-1	DFFA
ENSG00000203469	1	10458555	10459338	1	RP5-1113E3.3
ENSG00000142655	1	10472288	10630758	1	PEX14
ENSG00000243267	1	10616836	10617115	1	RN7SL614P
ENSG00000130940	1	10636604	10796650	-1	CASZ1
ENSG00000272078	1	10639241	10654333	1	RP4-734G22.3
ENSG00000225158	1	10895761	10895998	1	HSPE1P24
ENSG00000175262	1	10946471	10982037	-1	C1orf127
ENSG00000215785	1	10990978	10991797	-1	CFL1P6
ENSG00000264181	1	10998176	10998263	-1	AL713997.1
ENSG00000120948	1	11012344	11026420	1	TARDBP
ENSG00000277726	1	11012662	11030528	1	TARDBP
ENSG00000009724	1	11026523	11047233	-1	MASP2
ENSG00000271895	1	11029659	11030528	1	RP4-635E18.8
ENSG00000116649	1	11054584	11060024	-1	SRM
ENSG00000171824	1	11066618	11099881	-1	EXOSC10
ENSG00000226849	1	11068471	11073097	1	RP4-635E18.7
ENSG00000230337	1	11099675	11102100	1	RP4-635E18.6
ENSG00000198793	1	11106535	11262507	-1	MTOR
ENSG00000225602	1	11143898	11149537	1	MTOR-AS1
ENSG00000253086	1	11152350	11152452	1	RNU6-537P
ENSG00000171819	1	11189341	11195981	1	ANGPTL7
ENSG00000207451	1	11226254	11226360	1	RNU6-291P
ENSG00000238173	1	11232963	11233112	1	RPL39P6
ENSG00000120942	1	11273206	11296049	1	UBIAD1
ENSG00000238199	1	11278616	11279351	-1	UBE2V2P3
ENSG00000224338	1	11425257	11425821	-1	RP11-149P14.1
ENSG00000204624	1	11479166	11537584	1	PTCHD2
ENSG00000235643	1	11609531	11613355	1	RP1-69M21.2
ENSG00000116661	1	11648367	11655785	-1	FBXO2
ENSG00000132879	1	11654375	11663327	1	FBXO44
ENSG00000116663	1	11664124	11674354	1	FBXO6
ENSG00000116670	1	11674480	11691650	-1	MAD2L2
ENSG00000162490	1	11691729	11725857	1	DRAXIN
ENSG00000177674	1	11736084	11754802	1	AGTRAP
ENSG00000215910	1	11761787	11789585	1	C1orf167
ENSG00000177553	1	11777077	11779619	-1	RP11-56N19.5
ENSG00000177000	1	11785723	11806920	-1	MTHFR
ENSG00000011021	1	11806096	11843144	1	CLCN6
ENSG00000242349	1	11841017	11848079	1	NPPA-AS1
ENSG00000276470	1	11843812	11843984	1	NPPA-AS1_1
ENSG00000278852	1	11845549	11845697	1	NPPA-AS1_2
ENSG00000175206	1	11845709	11848345	-1	NPPA
ENSG00000275915	1	11847442	11847549	1	NPPA-AS1_3
ENSG00000120937	1	11857464	11858931	-1	NPPB
ENSG00000224904	1	11877770	11880406	1	RP5-934G17.6
ENSG00000199347	1	11908152	11908271	1	RNU5E-1
ENSG00000201801	1	11909808	11909927	-1	RNU5E-4P
ENSG00000116685	1	11919591	11926428	-1	KIAA2013
ENSG00000083444	1	11934205	11975538	1	PLOD1
ENSG00000116688	1	11980181	12013514	1	MFN2
ENSG00000270914	1	12017216	12017308	-1	RP5-1077B9.5
ENSG00000116691	1	12019466	12032045	1	MIIP
ENSG00000202461	1	12024012	12024124	-1	Y_RNA
ENSG00000276869	1	12029158	12029222	1	MIR6729
ENSG00000243539	1	12036740	12037014	-1	RN7SL649P
ENSG00000120949	1	12063377	12144207	1	TNFRSF8
ENSG00000201135	1	12077881	12077984	-1	RNU6-777P
ENSG00000227875	1	12080293	12080547	-1	RP11-426M1.2
ENSG00000275459	1	12166943	12167038	1	MIR7846
ENSG00000028137	1	12167003	12209228	1	TNFRSF1B
ENSG00000263676	1	12191713	12191773	1	MIR4632
ENSG00000225196	1	12220794	12221109	-1	RP5-1118D24.2
ENSG00000252969	1	12221148	12221271	-1	SNORA70
ENSG00000048707	1	12230067	12512047	1	VPS13D
ENSG00000239149	1	12507246	12507397	1	SNORA59A
ENSG00000229484	1	12527724	12528420	1	RP5-888M10.2
ENSG00000162496	1	12567910	12617731	-1	DHRS3
ENSG00000221340	1	12569972	12570072	-1	RNU6ATAC18P
ENSG00000276830	1	12578957	12579023	-1	MIR6730
ENSG00000272482	1	12618900	12619244	-1	RP11-474O21.5
ENSG00000204518	1	12644547	12667086	1	AADACL4
ENSG00000226166	1	12692909	12693020	1	RP11-474O21.2
ENSG00000188984	1	12716115	12728759	1	AADACL3
ENSG00000157330	1	12746215	12763699	1	C1orf158
ENSG00000116726	1	12774841	12777906	1	PRAMEF12
ENSG00000116721	1	12791397	12796628	1	PRAMEF1
ENSG00000228338	1	12822686	12823159	-1	RP5-845O24.8
ENSG00000239810	1	12824605	12831410	-1	PRAMEF11
ENSG00000279195	1	12824942	12828663	-1	PRAMEF6;
ENSG00000231103	1	12838125	12841357	-1	RP5-845O24.3
ENSG00000179172	1	12847377	12947578	-1	HNRNPCL1
ENSG00000120952	1	12857086	12861909	1	PRAMEF2
ENSG00000243073	1	12879224	12886201	-1	PRAMEF4
ENSG00000187545	1	12892896	12898270	-1	PRAMEF10
ENSG00000204510	1	12916610	12920482	1	PRAMEF7
ENSG00000207434	1	12922554	12922660	1	RNU6-1072P
ENSG00000234064	1	12926162	12928253	1	RP11-450I1.2
ENSG00000232423	1	12938472	13056491	-1	PRAMEF6
ENSG00000274178	1	13029339	13032130	1	CH17-409J4.2
ENSG00000280267	1	13049476	13158092	-1	RP13-221M14.1
ENSG00000274764	1	13049476	13155947	-1	WI2-3308P17.2
ENSG00000229571	1	13060853	13077884	1	PRAMEF26
ENSG00000277058	1	13060869	13062229	1	HNRNPCL3
ENSG00000277862	1	13095179	13097971	-1	WI2-2994D6.1
ENSG00000236179	1	13104403	13105689	-1	RP13-221M14.4
ENSG00000275774	1	13115496	13116854	-1	HNRNPCL2
ENSG00000229978	1	13128818	13131615	1	RP13-221M14.3
ENSG00000233336	1	13146981	13147460	-1	RP13-221M14.2
ENSG00000179412	1	13164586	13165467	-1	HNRNPCL4
ENSG00000204505	1	13172455	13179464	1	PRAMEF25
ENSG00000279169	1	13196823	13199589	-1	CH17-228N4.2
ENSG00000279804	1	13222695	13226133	-1	PRAMEF18
ENSG00000250894	1	13245863	13248652	1	RP11-450I1.4
ENSG00000270601	1	13254198	13263435	1	PRAMEF5
ENSG00000231219	1	13273539	13275627	-1	RP11-219C24.8
ENSG00000207511	1	13279125	13279231	-1	RNU6-771P
ENSG00000182330	1	13281035	13285174	-1	PRAMEF8
ENSG00000204501	1	13303509	13322598	1	PRAMEF9
ENSG00000237700	1	13305955	13308887	1	RP11-219C24.6
ENSG00000228229	1	13324039	13324518	1	RP11-219C24.10
ENSG00000204481	1	13342034	13347134	-1	PRAMEF14
ENSG00000204480	1	13369067	13371693	-1	PRAMEF19
ENSG00000204479	1	13389632	13392629	1	PRAMEF17
ENSG00000204478	1	13410450	13421328	1	PRAMEF20
ENSG00000162494	1	13474977	13514048	-1	LRRC38
ENSG00000259961	1	13513220	13516270	1	RP4-597A16.2
ENSG00000215909	1	13555001	13555694	1	RP4-597A16.3
ENSG00000162493	1	13583465	13617957	1	PDPN
ENSG00000222952	1	13623184	13623284	-1	RNA5SP41
ENSG00000266358	1	13623902	13624002	-1	AL359771.1
ENSG00000237445	1	13657311	13659910	-1	CTA-520D8.2
ENSG00000253085	1	13696070	13696199	-1	SCARNA11
ENSG00000116731	1	13700198	13825079	1	PRDM2
ENSG00000252151	1	14124233	14124335	-1	RNU6-1265P
ENSG00000231606	1	14221891	14223118	-1	RP11-344F13.1
ENSG00000234593	1	14348955	14351023	-1	RP4-704D23.1
ENSG00000189337	1	14598704	15118043	1	KAZN
ENSG00000235829	1	14692129	14692613	-1	TBCAP2
ENSG00000175147	1	15111815	15152464	-1	TMEM51-AS1
ENSG00000171729	1	15152532	15220480	1	TMEM51
ENSG00000204464	1	15164344	15171317	-1	C1orf195
ENSG00000215720	1	15191828	15192845	-1	RP1-21O18.3
ENSG00000278480	1	15226373	15227549	1	RP5-903E17.2
ENSG00000142621	1	15247272	15400283	1	FHAD1
