Symbol	Entrez	Ensembl
ABHD10	55347	ENSG00000144827
ABHD11	83451	ENSG00000106077
ABHD11-AS1	171022	ENSG00000225969
ABHD12	26090	ENSG00000100997
ABHD12B	145447	ENSG00000131969
ABHD13	84945	ENSG00000139826
ABHD14A	25864	ENSG00000248487
ABHD14A-ACY1	100526760	ENSG00000114786
ABHD14B	84836	ENSG00000114779
ABHD15	116236	ENSG00000168792
ABHD15-AS1		ENSG00000264031
ABHD16A	7920	ENSG00000204427
ABHD16B	140701	ENSG00000183260
ABHD17A	81926	ENSG00000129968
ABHD17AP1	728917	ENSG00000203835
ABHD17AP3	648359	ENSG00000250536
ABHD17AP4	729495	ENSG00000229107
ABHD17AP5	91219	ENSG00000182502
ABHD17AP6	644988	ENSG00000226981
ABHD17AP7	100133212	
ABHD17AP8	647144	
ABHD17AP9	100132251	
ABHD17B	51104	ENSG00000107362
ABHD17C	58489	ENSG00000136379
ABI1	10006	ENSG00000136754
ABI1P1	326268	
ABI2	10152	ENSG00000138443
ABI3	51225	ENSG00000108798
ABI3BP	25890	ENSG00000154175
ABL1	25	ENSG00000097007
ABL2	27	ENSG00000143322
ABLIM1	3983	ENSG00000099204
ABLIM2	84448	ENSG00000163995
ABLIM3	22885	ENSG00000173210
ABO	28	ENSG00000175164
ABR	29	ENSG00000159842
ABRA	137735	ENSG00000174429
ABRACL	58527	ENSG00000146386
ABT1	29777	ENSG00000146109
ABT1P1	100420695	ENSG00000250496
ABTB1	80325	ENSG00000114626
ABTB2	25841	ENSG00000166016
ACAA1	30	ENSG00000060971
ACAA2	10449	ENSG00000167315
ACACA	31	ENSG00000132142
ACACB	32	ENSG00000076555
ACAD8	27034	ENSG00000151498
ACAD9	28976	ENSG00000177646
ACAD10	80724	ENSG00000111271
ACAD11	84129	ENSG00000240303
ACADL	33	ENSG00000115361
ACADM	34	ENSG00000117054
ACADS	35	ENSG00000122971
ACADSB	36	ENSG00000196177
ACADVL	37	ENSG00000072778
ACAN	176	ENSG00000157766
ACAP1	9744	ENSG00000072818
ACAP2	23527	ENSG00000114331
ACAP2-IT1		ENSG00000229325
ACAP3	116983	ENSG00000131584
ACAT1	38	ENSG00000075239
ACAT2	39	ENSG00000120437
ACBD3	64746	ENSG00000182827
ACBD4	79777	ENSG00000181513
ACBD5	91452	ENSG00000107897
ACBD6	84320	ENSG00000135847
ACBD7	414149	ENSG00000176244
ACCS	84680	ENSG00000110455
ACCSL	390110	ENSG00000205126
ACD	65057	ENSG00000102977
ACE	1636	ENSG00000159640
ACE2	59272	ENSG00000130234
ACE3P	100129123	ENSG00000224353
ACER1	125981	ENSG00000167769
ACER2	340485	ENSG00000177076
ACER3	55331	ENSG00000078124
ACHE	43	ENSG00000087085
ACIN1	22985	ENSG00000100813
ACKR1	2532	ENSG00000213088
ACKR2	1238	ENSG00000144648
ACKR3	57007	ENSG00000144476
ACKR4	51554	ENSG00000129048
ACLS		
ACLY	47	ENSG00000131473
ACMSD	130013	ENSG00000153086
ACN9	57001	ENSG00000196636
ACO1	48	ENSG00000122729
ACO2	50	ENSG00000100412
ACOT1	641371	ENSG00000184227
ACOT2	10965	ENSG00000119673
ACOT4	122970	ENSG00000177465
ACOT6	641372	ENSG00000205669
ACOT7	11332	ENSG00000097021
ACOT8	10005	ENSG00000101473
ACOT9	23597	ENSG00000123130
ACOT11	26027	ENSG00000162390
ACOT12	134526	ENSG00000172497
ACOT13	55856	ENSG00000112304
ACOX1	51	ENSG00000161533
ACOX2	8309	ENSG00000168306
ACOX3	8310	ENSG00000087008
ACOXL	55289	ENSG00000153093
ACP1	52	ENSG00000143727
ACP2	53	ENSG00000134575
ACP5	54	ENSG00000102575
ACP6	51205	ENSG00000162836
ACPP	55	ENSG00000014257
ACPT	93650	ENSG00000142513
ACR	49	ENSG00000100312
ACRBP	84519	ENSG00000111644
ACRC	93953	ENSG00000147174
ACRV1	56	ENSG00000134940
ACSBG1	23205	ENSG00000103740
ACSBG2	81616	ENSG00000130377
ACSF2	80221	ENSG00000167107
ACSF3	197322	ENSG00000176715
ACSL1	2180	ENSG00000151726
ACSL3	2181	ENSG00000123983
ACSL4	2182	ENSG00000068366
ACSL5	51703	ENSG00000197142
ACSL6	23305	ENSG00000164398
ACSM1	116285	ENSG00000166743
ACSM2A	123876	ENSG00000183747
ACSM2B	348158	ENSG00000066813
ACSM3	6296	ENSG00000005187
ACSM4	341392	ENSG00000215009
ACSM5	54988	ENSG00000183549
ACSM6	142827	ENSG00000173124
ACSS1	84532	ENSG00000154930
ACSS2	55902	ENSG00000131069
ACSS3	79611	ENSG00000111058
ACTA1	58	ENSG00000143632
ACTA2	59	ENSG00000107796
ACTA2-AS1	100132116	ENSG00000180139
ACTB	60	ENSG00000075624
ACTBL2	345651	ENSG00000169067
ACTBP1	643309	ENSG00000229145
ACTBP2	62	ENSG00000213763
ACTBP3	63	
ACTBP4	64	
ACTBP6	66	ENSG00000203413
ACTBP7	67	ENSG00000185607
ACTBP8	68	ENSG00000220267
ACTBP9	69	
ACTBP10	446207	
ACTBP11	644220	ENSG00000188460
ACTBP12	100462767	ENSG00000233125
ACTBP13	389120	ENSG00000234667
ACTBP14	389976	ENSG00000229001
ACTC1	70	ENSG00000159251
ACTG1	71	ENSG00000184009
ACTG1P1	73	ENSG00000178631
ACTG1P2	74	ENSG00000229129
ACTG1P3	75	ENSG00000215388
ACTG1P4	648740	ENSG00000236085
ACTG1P6	78	
ACTG1P7	79	
ACTG1P8	80	
ACTG1P9	82	ENSG00000229349
ACTG1P10	83	ENSG00000231340
ACTG1P11	414754	ENSG00000229465
ACTG1P12	100418921	ENSG00000226642
ACTG1P13	100418920	ENSG00000241305
ACTG1P14	100418910	ENSG00000230581
ACTG2	72	ENSG00000163017
ACTL6A	86	ENSG00000136518
ACTL6B	51412	ENSG00000077080
ACTL7A	10881	ENSG00000187003
ACTL7B	10880	ENSG00000148156
ACTL8	81569	ENSG00000117148
ACTL9	284382	ENSG00000181786
ACTL10	170487	ENSG00000182584
ACTN1	87	ENSG00000072110
ACTN1-AS1	161159	ENSG00000259062
ACTN2	88	ENSG00000077522
ACTN3	89	ENSG00000248746
ACTN4	81	ENSG00000130402
ACTN4P1	344978	ENSG00000213493
ACTN4P2	391026	ENSG00000214141
ACTR1A	10121	ENSG00000138107
ACTR1B	10120	ENSG00000115073
ACTR2	10097	ENSG00000138071
ACTR3	10096	ENSG00000115091
ACTR3B	57180	ENSG00000133627
ACTR3BP1	643050	
ACTR3BP2	440888	ENSG00000226481
ACTR3BP3	647156	
ACTR3BP4	777774	ENSG00000249283
ACTR3BP5	399746	ENSG00000227264
ACTR3BP6	644773	ENSG00000226444
ACTR3C	653857	ENSG00000106526
ACTR3P1	100288580	
ACTR3P2	100129013	ENSG00000232267
ACTR3P3	100128020	ENSG00000242573
ACTR5	79913	ENSG00000101442
ACTR6	64431	ENSG00000075089
ACTR6P1	100421495	ENSG00000248915
ACTR8	93973	ENSG00000113812
ACTR10	55860	ENSG00000131966
ACTRT1	139741	ENSG00000123165
ACTRT2	140625	ENSG00000169717
ACTRT3	84517	ENSG00000184378
ACVR1	90	ENSG00000115170
ACVR1B	91	ENSG00000135503
ACVR1C	130399	ENSG00000123612
ACVR2A	92	ENSG00000121989
ACVR2B	93	ENSG00000114739
ACVR2B-AS1	100128640	ENSG00000229589
ACVRL1	94	ENSG00000139567
ACY1	95	ENSG00000243989
ACY3	91703	ENSG00000132744
ACYP1	97	ENSG00000119640
ACYP2	98	ENSG00000170634
AD5		
ADA	100	ENSG00000196839
ADAD1	132612	ENSG00000164113
ADAD1P1	100422386	
ADAD1P2	100422407	ENSG00000267511
ADAD2	161931	ENSG00000140955
ADAL	161823	ENSG00000168803
ADAM1A	8759	ENSG00000229186
ADAM1B	100420505	ENSG00000226469
ADAM2	2515	ENSG00000104755
ADAM3A	1587	ENSG00000197475
ADAM3B	1596	ENSG00000260089
ADAM5	255926	ENSG00000196115
ADAM6	8755	ENSG00000233988
ADAM7	8756	ENSG00000069206
ADAM8	101	ENSG00000151651
ADAM9	8754	ENSG00000168615
ADAM10	102	ENSG00000137845
ADAM11	4185	ENSG00000073670
ADAM12	8038	ENSG00000148848
ADAM15	8751	ENSG00000143537
ADAM17	6868	ENSG00000151694
ADAM18	8749	ENSG00000168619
ADAM19	8728	ENSG00000135074
ADAM20	8748	ENSG00000134007
ADAM20P1	317760	ENSG00000259158
ADAM20P2	100533671	ENSG00000248574
ADAM20P3	644325	ENSG00000249162
ADAM21	8747	ENSG00000139985
ADAM21P1	145241	ENSG00000235812
ADAM22	53616	ENSG00000008277
ADAM23	8745	ENSG00000114948
ADAM24P	646479	ENSG00000214607
ADAM28	10863	ENSG00000042980
ADAM29	11086	ENSG00000168594
ADAM30	11085	ENSG00000134249
ADAM32	203102	ENSG00000197140
ADAM33	80332	ENSG00000149451
ADAMDEC1	27299	ENSG00000134028
ADAMTS1	9510	ENSG00000154734
ADAMTS2	9509	ENSG00000087116
ADAMTS3	9508	ENSG00000156140
ADAMTS4	9507	ENSG00000158859
ADAMTS5	11096	ENSG00000154736
ADAMTS6	11174	ENSG00000049192
ADAMTS7	11173	ENSG00000136378
ADAMTS7P1	390660	ENSG00000259785
ADAMTS7P3	400406	ENSG00000261143
ADAMTS7P4	642935	ENSG00000218052
ADAMTS8	11095	ENSG00000134917
ADAMTS9	56999	ENSG00000163638
ADAMTS9-AS1	101929335	ENSG00000241158
ADAMTS9-AS2	100507098	ENSG00000241684
ADAMTS10	81794	ENSG00000142303
ADAMTS12	81792	ENSG00000151388
ADAMTS13	11093	ENSG00000160323
ADAMTS14	140766	ENSG00000138316
ADAMTS15	170689	ENSG00000166106
ADAMTS16	170690	ENSG00000145536
ADAMTS17	170691	ENSG00000140470
ADAMTS18	170692	ENSG00000140873
ADAMTS19	171019	ENSG00000145808
ADAMTS19-AS1		ENSG00000249421
ADAMTS20	80070	
ADAMTSL1	92949	ENSG00000178031
ADAMTSL2	9719	ENSG00000197859
ADAMTSL3	57188	ENSG00000156218
ADAMTSL4	54507	ENSG00000143382
ADAMTSL4-AS1		ENSG00000203804
ADAMTSL5	339366	
ADAP1	11033	ENSG00000105963
ADAP2	55803	ENSG00000184060
ADAR	103	ENSG00000160710
ADARB1	104	ENSG00000197381
ADARB2	105	ENSG00000185736
ADARB2-AS1	642394	ENSG00000205696
ADAT1	23536	ENSG00000065457
ADAT2	134637	ENSG00000189007
ADAT3	113179	ENSG00000213638
ADCK1	57143	
ADCK2	90956	ENSG00000133597
ADCK3	56997	ENSG00000163050
ADCK4	79934	
ADCK5	203054	ENSG00000173137
ADCP1	106	
ADCY1	107	ENSG00000164742
ADCY2	108	ENSG00000078295
ADCY3	109	ENSG00000138031
ADCY4	196883	ENSG00000129467
ADCY5	111	ENSG00000173175
ADCY6	112	
ADCY7	113	ENSG00000121281
ADCY8	114	ENSG00000155897
ADCY9	115	
ADCY10	55811	ENSG00000143199
ADCY10P1	221442	ENSG00000161912
ADCYAP1	116	ENSG00000141433
ADCYAP1R1	117	ENSG00000078549
ADD1	118	ENSG00000087274
ADD2	119	ENSG00000075340
ADD3	120	ENSG00000148700
ADD3-AS1	100505933	
ADFN	122	
ADGB	79747	ENSG00000118492
ADH1A	124	ENSG00000187758
ADH1B	125	ENSG00000196616
ADH1C	126	ENSG00000248144
ADH4	127	
ADH5	128	ENSG00000197894
ADH5P2	343296	ENSG00000232676
ADH5P3	100131810	ENSG00000223694
ADH5P4	642443	ENSG00000233859
ADH6	130	ENSG00000172955
ADH7	131	ENSG00000196344
ADHFE1	137872	ENSG00000147576
ADI1	55256	ENSG00000182551
ADIG	149685	ENSG00000182035
ADIPOQ	9370	ENSG00000181092
ADIPOQ-AS1	100874095	ENSG00000226482
ADIPOR1	51094	ENSG00000159346
ADIPOR1P1	645220	ENSG00000232497
ADIPOR1P2	390503	ENSG00000258805
ADIPOR2	79602	ENSG00000006831
ADIRF	10974	ENSG00000148671
ADIRF-AS1	100133190	ENSG00000233165
ADK	132	ENSG00000156110
ADM	133	ENSG00000148926
ADM2	79924	ENSG00000128165
ADM5	199800	ENSG00000224420
ADNP	23394	ENSG00000101126
ADNP-AS1	101927631	ENSG00000259456
ADNP2	22850	ENSG00000101544
ADO	84890	ENSG00000181915
ADORA1	134	ENSG00000163485
ADORA2A	135	ENSG00000128271
ADORA2A-AS1	646023	
ADORA2B	136	ENSG00000170425
ADORA2BP1	137	ENSG00000236136
ADORA3	140	ENSG00000121933
ADPGK	83440	ENSG00000159322
ADPGK-AS1	100287559	ENSG00000260898
ADPRH	141	ENSG00000144843
ADPRHL1	113622	ENSG00000153531
ADPRHL2	54936	ENSG00000116863
ADPRM	56985	ENSG00000170222
ADRA1A	148	ENSG00000120907
ADRA1B	147	ENSG00000170214
ADRA1D	146	ENSG00000171873
ADRA2A	150	ENSG00000150594
ADRA2B	151	ENSG00000222040
ADRA2C	152	ENSG00000184160
ADRB1	153	ENSG00000043591
ADRB2	154	ENSG00000169252
ADRB3	155	
ADRBK1	156	ENSG00000173020
ADRBK2	157	ENSG00000100077
ADRM1	11047	ENSG00000130706
ADSL	158	ENSG00000239900
ADSS	159	ENSG00000035687
ADSSL1	122622	ENSG00000185100
ADTRP	84830	ENSG00000111863
AEBP1	165	ENSG00000106624
AEBP2	121536	ENSG00000139154
AEN	64782	ENSG00000181026
AES	166	
AF8T		
AFA		
AFAP1	60312	ENSG00000196526
AFAP1-AS1	84740	
AFAP1L1	134265	ENSG00000157510
AFAP1L2	84632	ENSG00000169129
AFD1		
AFF1	4299	ENSG00000172493
AFF2	2334	ENSG00000155966
AFF2-IT1		ENSG00000223516
AFF3	3899	ENSG00000144218
AFF4	27125	ENSG00000072364
AFG3L1P	172	ENSG00000223959
AFG3L2	10939	ENSG00000141385
AFG3L2P1	347028	ENSG00000253606
AFM	173	ENSG00000079557
AFMID	125061	ENSG00000183077
AFP	174	ENSG00000081051
AFTPH	54812	ENSG00000119844
AGA	175	ENSG00000038002
AGAP1	116987	ENSG00000157985
AGAP1-IT1	100506749	ENSG00000235529
AGAP2	116986	ENSG00000135439
AGAP2-AS1	100130776	ENSG00000255737
AGAP3	116988	ENSG00000133612
AGAP4	119016	ENSG00000188234
AGAP5	729092	ENSG00000172650
AGAP6	414189	ENSG00000204149
AGAP7P	653268	ENSG00000204169
AGAP9	642517	ENSG00000198035
AGAP10	728127	ENSG00000204172
AGAP11	119385	ENSG00000151303
AGBL1	123624	ENSG00000166748
AGBL1-AS1	727915	ENSG00000260125
AGBL2	79841	ENSG00000165923
AGBL3	340351	ENSG00000146856
AGBL4	84871	ENSG00000186094
AGBL4-IT1		ENSG00000225623
AGBL5	60509	ENSG00000084693
AGBL5-AS1		ENSG00000231636
AGBL5-IT1		ENSG00000229122
AGER	177	ENSG00000204305
AGFG1	3267	ENSG00000173744
AGFG2	3268	ENSG00000106351
AGGF1	55109	ENSG00000164252
AGGF1P1	100132380	ENSG00000214273
AGGF1P2	644435	ENSG00000233435
AGGF1P3	391552	ENSG00000241532
AGGF1P4	100129351	
AGK	55750	ENSG00000006530
AGKP1	359793	ENSG00000226555
AGL	178	ENSG00000162688
AGMAT	79814	ENSG00000116771
AGMO	392636	ENSG00000187546
AGMX2		
AGO1	26523	ENSG00000092847
AGO2	27161	ENSG00000123908
AGO3	192669	ENSG00000126070
AGO4	192670	ENSG00000134698
AGPAT1	10554	ENSG00000204310
AGPAT2	10555	ENSG00000169692
AGPAT3	56894	ENSG00000160216
AGPAT4	56895	ENSG00000026652
AGPAT4-IT1	79992	
AGPAT5	55326	ENSG00000155189
AGPAT5P1	646231	ENSG00000234652
AGPAT6	137964	
AGPAT9	84803	ENSG00000138678
AGPS	8540	ENSG00000018510
AGR2	10551	ENSG00000106541
AGR3	155465	ENSG00000173467
AGRN	375790	ENSG00000188157
AGRP	181	ENSG00000159723
AGT	183	ENSG00000135744
AGTPBP1	23287	ENSG00000135049
AGTR1	185	ENSG00000144891
AGTR2	186	ENSG00000180772
AGTRAP	57085	ENSG00000177674
AGXT	189	ENSG00000172482
AGXT2	64902	ENSG00000113492
AHCTF1	25909	ENSG00000153207
AHCTF1P1	285116	
AHCY	191	ENSG00000101444
AHCYL1	10768	ENSG00000168710
AHCYL2	23382	ENSG00000158467
AHCYP1	340844	ENSG00000215044
AHCYP2	392387	ENSG00000238181
AHCYP3	402093	ENSG00000233955
AHCYP4	129560	ENSG00000232992
AHCYP5	391470	ENSG00000213107
AHCYP6	100419714	
AHCYP7	645486	ENSG00000259465
AHCYP8		ENSG00000242529
AHDC1	27245	ENSG00000126705
AHI1	54806	ENSG00000135541
AHNAK	79026	ENSG00000124942
AHNAK2	113146	ENSG00000185567
AHR	196	ENSG00000106546
AHRR	57491	ENSG00000063438
AHSA1	10598	
AHSA2	130872	ENSG00000173209
AHSG	197	ENSG00000145192
AHSP	51327	ENSG00000169877
AIC	192	
AICDA	57379	ENSG00000111732
AIDA	64853	ENSG00000186063
AIF1	199	ENSG00000204472
AIF1L	83543	ENSG00000126878
AIFM1	9131	ENSG00000156709
AIFM1P1	645120	ENSG00000225509
AIFM2	84883	ENSG00000042286
AIFM3	150209	ENSG00000183773
AIG1	51390	ENSG00000146416
AIG1P1		ENSG00000249089
AIH3		
AIM1	202	ENSG00000112297
AIM1L	55057	ENSG00000176092
AIM2	9447	ENSG00000163568
AIMP1	9255	ENSG00000164022
AIMP1P1	170547	ENSG00000234187
AIMP1P2	100873064	ENSG00000227177
AIMP2	7965	ENSG00000106305
AIP	9049	ENSG00000110711
AIPL1	23746	ENSG00000129221
AIRE	326	ENSG00000160224
AIRN	100271873	ENSG00000268257
AIS1		
AIS2	378426	
AIS3	378427	
AJAP1	55966	ENSG00000196581
AJUBA	84962	ENSG00000129474
AK1	203	ENSG00000106992
AK2	204	ENSG00000004455
AK2P1	266920	
AK2P2	339736	ENSG00000242272
AK3	50808	ENSG00000147853
AK3P2	100419074	ENSG00000250115
AK3P3	100419075	ENSG00000230042
AK3P4	100129959	ENSG00000248722
AK3P5	100288319	ENSG00000228816
AK3P6	100873789	
AK4	205	ENSG00000162433
AK4P1	206	
AK4P2	100132104	ENSG00000249410
AK4P3	645619	ENSG00000233381
AK4P4	100128705	ENSG00000223621
AK4P5	100526416	ENSG00000217377
AK4P6	649288	ENSG00000235606
AK5	26289	ENSG00000154027
AK6	102157402	
AK7	122481	ENSG00000140057
AK8	158067	ENSG00000165695
AK9	221264	
AKAP1	8165	ENSG00000121057
AKAP2	11217	ENSG00000241978
AKAP3	10566	
AKAP4	8852	ENSG00000147081
AKAP5	9495	ENSG00000179841
AKAP6	9472	ENSG00000151320
AKAP7	9465	ENSG00000118507
AKAP8	10270	ENSG00000105127
AKAP8L	26993	ENSG00000011243
AKAP8P1	646114	ENSG00000234146
AKAP9	10142	ENSG00000127914
AKAP10	11216	ENSG00000108599
AKAP11	11215	ENSG00000023516
AKAP12	9590	ENSG00000131016
AKAP13	11214	
AKAP14	158798	ENSG00000186471
AKAP17A	8227	ENSG00000197976
AKAP17BP	139516	ENSG00000214992
AKIP1	56672	ENSG00000166452
AKIRIN1	79647	ENSG00000174574
AKIRIN1P1	100418731	ENSG00000257786
AKIRIN1P2		ENSG00000228125
AKIRIN2	55122	ENSG00000135334
AKIRIN2P1	100216487	ENSG00000251482
AKNA	80709	ENSG00000106948
AKNAD1	254268	ENSG00000162641
AKR1A1	10327	ENSG00000117448
AKR1B1	231	ENSG00000085662
AKR1B1P1	401982	ENSG00000229991
AKR1B1P2	236	ENSG00000213452
AKR1B1P3	729347	
AKR1B1P4	390402	ENSG00000237876
AKR1B1P5	390482	
AKR1B1P6	100129769	
AKR1B1P7	126242	
AKR1B1P8	392525	ENSG00000231371
AKR1B10	57016	ENSG00000198074
AKR1B10P1	340888	ENSG00000213606
AKR1B10P2	643582	ENSG00000263355
AKR1B15	441282	ENSG00000227471
AKR1C1	1645	ENSG00000187134
AKR1C2	1646	ENSG00000151632
AKR1C3	8644	ENSG00000196139
AKR1C4	1109	ENSG00000198610
AKR1C5P	100996684	ENSG00000225418
AKR1C6P	389932	ENSG00000151631
AKR1C7P	648947	ENSG00000215267
AKR1CL1	340811	ENSG00000196326
AKR1D1	6718	ENSG00000122787
AKR1D1P1	80701	ENSG00000227776
AKR1E2	83592	ENSG00000165568
AKR7A2	8574	ENSG00000053371
AKR7A2P1	246182	ENSG00000229020
AKR7A3	22977	ENSG00000162482
AKR7L	246181	ENSG00000211454
AKT1	207	ENSG00000142208
AKT1S1	84335	ENSG00000204673
AKT2	208	ENSG00000105221
AKT3	10000	ENSG00000117020
AKT3-IT1		ENSG00000228939
AKTIP	64400	ENSG00000166971
ALAD	210	ENSG00000148218
ALAS1	211	ENSG00000023330
ALAS2	212	ENSG00000158578
ALB	213	ENSG00000163631
ALCAM	214	ENSG00000170017
ALDH1A1	216	ENSG00000165092
ALDH1A2	8854	ENSG00000128918
ALDH1A3	220	ENSG00000184254
ALDH1B1	219	ENSG00000137124
ALDH1L1	10840	ENSG00000144908
ALDH1L1-AS1		ENSG00000250218
ALDH1L1-AS2		ENSG00000246022
ALDH1L2	160428	
ALDH2	217	
ALDH3A1	218	ENSG00000108602
ALDH3A2	224	ENSG00000072210
ALDH3B1	221	ENSG00000006534
ALDH3B2	222	ENSG00000132746
ALDH4A1	8659	ENSG00000159423
ALDH5A1	7915	ENSG00000112294
ALDH6A1	4329	ENSG00000119711
ALDH7A1	501	ENSG00000164904
ALDH7A1P1	541	ENSG00000251400
ALDH7A1P2	542	ENSG00000232292
ALDH7A1P3	543	ENSG00000243853
ALDH7A1P4	544	ENSG00000234489
ALDH8A1	64577	ENSG00000118514
ALDH9A1	223	ENSG00000143149
ALDH16A1	126133	ENSG00000161618
ALDH18A1	5832	ENSG00000059573
ALDOA	226	ENSG00000149925
ALDOAP1	391538	
ALDOAP2	228	ENSG00000214297
ALDOB	229	ENSG00000136872
ALDOC	230	ENSG00000109107
ALG1	56052	ENSG00000033011
ALG1L	200810	ENSG00000189366
ALG1L2	644974	ENSG00000251287
ALG1L3P	100132066	ENSG00000251087
ALG1L5P	647415	ENSG00000226943
ALG1L6P	339879	ENSG00000238278
ALG1L7P	728263	ENSG00000251271
ALG1L8P	645015	ENSG00000227620
ALG1L9P	285407	ENSG00000254978
ALG1L10P		ENSG00000254016
ALG1L11P		ENSG00000249889
ALG1L12P	100421097	ENSG00000250794
ALG1L13P		ENSG00000253981
ALG1L14P	100996649	ENSG00000250268
ALG1L15P	730086	ENSG00000242017
ALG2	85365	ENSG00000119523
ALG3	10195	ENSG00000214160
ALG3P1	442131	ENSG00000251568
ALG5	29880	ENSG00000120697
ALG6	29929	ENSG00000088035
ALG8	79053	ENSG00000159063
ALG9	79796	ENSG00000086848
ALG9-IT1		ENSG00000254450
ALG10	84920	ENSG00000139133
ALG10B	144245	ENSG00000175548
ALG11	440138	ENSG00000253710
ALG12	79087	ENSG00000182858
ALG13	79868	ENSG00000101901
ALG13-AS1		ENSG00000229487
ALG14	199857	ENSG00000172339
ALK	238	ENSG00000171094
ALKBH1	8846	ENSG00000100601
ALKBH2	121642	ENSG00000189046
ALKBH3	221120	ENSG00000166199
ALKBH3-AS1	100507300	ENSG00000244926
ALKBH4	54784	ENSG00000160993
ALKBH5	54890	ENSG00000091542
ALKBH6	84964	ENSG00000239382
ALKBH7	84266	
ALKBH8	91801	ENSG00000137760
ALLC	55821	ENSG00000151360
ALMS1	7840	ENSG00000116127
ALMS1-IT1		ENSG00000230002
ALMS1P	200420	ENSG00000163016
ALOX5	240	ENSG00000012779
ALOX5AP	241	ENSG00000132965
ALOX12	239	ENSG00000108839
ALOX12B	242	ENSG00000179477
ALOX12P1	243	
ALOX12P2	245	ENSG00000262943
ALOX15	246	ENSG00000161905
ALOX15B	247	ENSG00000179593
