gene_id	gene_civic_url	name	entrez_id	description
11	https://civic.genome.wustl.edu#/events/genes/11/summary#gene	CCNE1	898	Cyclin E, while currenly not as widely implicated as its cyclin D counterparts, has been implicated in various carcinomas, including breast, gastric, stomach and colorectal. High levels of cyclin E, either by gene amplification or overexpression, have been shown to lead to poorer prognosis in gastic carcinoma, and these measurements are correlated with later stage disease. In lung cancer, neoplastic cells with higher levels of the cyclin E/CDK2 complex are more radiosensitive than their more lowly expressed counterparts.
13	https://civic.genome.wustl.edu#/events/genes/13/summary#gene	CDK4	1019	CDK4, along with its partner CDK6, are key players in cell cycle progression. The complex has been implicated in a number of cancer types, and is the focus of therapeutic research and development. One targeted therapy for CDK inhibition is palbociclib, which may slow the growth of advanced stage breast cancers. It has also been shown, in mouse, that CDK inhibition may sensitize mutant PIK3CA tumors to PI3K inhibitors.
14	https://civic.genome.wustl.edu#/events/genes/14/summary#gene	CDKN2A	1029	CDKN2A loss has been shown to be a significant event in a number of cancer types. While no targeted therapeutic has been engaged in clinical trials, the prognostic impact has been studied by a number of meta-analyses. One mechanism by which loss of CDKN2A can occur is by hypermethylation of the promoter region for the gene. However, the prognostic impact of promoter hypermethylation has been relatively ambiguous. Many studies have suggesting poorer prognostic outcome for patients with hypermethylation in colorectal, liver, and younger lung cancer patients. This being said, there is still research to be done before this becomes a widely-accepted prognostic indicator. Additionally, CDKN2A (p16) expression is a surrogate marker for HPV infection. As such, CDKN2A expression is prognostic in Oropharyngeal and probably also non-oropharyngeal head and neck squamous cell carcinomas.
15	https://civic.genome.wustl.edu#/events/genes/15/summary#gene	CEBPA	1050	'AML with mutated CEBPA' is a provisional entity in the WHO classification of acute myeloid leukemia (AML) and is recommended to be tested for in patients with AML. CEBPA mutations are particularly associated with cytogenetically normal AML (CN-AML). CEBPA is an intronless gene that is required for granulocyte formation in mice. N-terminal nonsense mutations result in a dominant negative C/EBP-alpha protein while C-terminal mutations reduce the DNA-binding potential of this transcription factor. CEBPA mutations are associated with a favorable prognosis, however, NPM1 and FLT3 mutations should also be assessed in CN-AML patients as concurrent mutations may have prognostic implications.
17	https://civic.genome.wustl.edu#/events/genes/17/summary#gene	PRKACA	5566	PRKACA has been studied in breast cancer and has been found to mediate resistance to HER2 targeted therapies. It has also been found to contain a mutation hotspot that contributes to neoplastic behavior in neuroendocrine cancers. In hepatocellular fibrolamellar carcinoma (FL-HCC), the fusion DNAJB1 to PRKACA is suggested to be a diagnostic marker for this rare subtype of HCC. In one study, this fusion was observed in 15/15 FL-HCC cases examined and functional studies found that the fusion retained kinase activity.
18	https://civic.genome.wustl.edu#/events/genes/18/summary#gene	DNMT3A	1788	DNMT3A is one of several epigenetic modifiers identified as recurrently mutated in acute myeloid leukemia (AML). DNMT3A mutations are associated with cytogenetically normal AML. In vitro experiments indicate that the R882H mutation acts in a dominant negative manner to disrupt the de novo methyltransferase activity of wildtype homotetramers. AML patient bone marrow harboring R882 mutations were similarly demonstrated to be hypomethylated compared to patients with wildtype DNMT3A. These studies also indicated that non-R882 DNMT3A mutations may act in a functionally distinct manner from R882 mutations. Alternative mechanisms indicate independent prognostic outcomes and treatment protocols may need to be considered for these two classes of DNMT3A mutations.
19	https://civic.genome.wustl.edu#/events/genes/19/summary#gene	EGFR	1956	EGFR is widely recognized for its importance in cancer. Amplification and mutations have been shown to be driving events in many cancer types. Its role in non-small cell lung cancer, glioblastoma and basal-like breast cancers has spurred many research and drug development efforts. Tyrosine kinase inhibitors have shown efficacy in EGFR amplfied tumors, most notably gefitinib and erlotinib. Mutations in EGFR have been shown to confer resistance to these drugs, particularly the variant T790M, which has been functionally characterized as a resistance marker for both of these drugs. The later generation TKI's have seen some success in treating these resistant cases, and targeted sequencing of the EGFR locus has become a common practice in treatment of non-small cell lung cancer.  Overproduction of ligands is another possible mechanism of activation of EGFR. ERBB ligands include EGF, TGF-a, AREG, EPG, BTC, HB-EGF, EPR and NRG1-4 (for detailed information please refer to the respective ligand section). In ligand-activated cancers, Cetuximab appears to be more effective than tyrosine-kinase inhibitors (Arteaga et. al.).
20	https://civic.genome.wustl.edu#/events/genes/20/summary#gene	ERBB2	2064	ERBB2, commonly referred to as HER2, is amplified and/or overexpressed in 20-30% of invasive breast carcinomas. HER2-positive breast cancer is treated in a separate manner from other subtypes of breast cancer. Metastatic HER2-positive breast cancer is now commonly treated with HER2-targeted therapy. Apart from being amplified/overexpressed, ERBB2 activating mutations have been shown to have clinical importance in HER2-negative breast cancer. These mutations have shown sensitivity to the tyrosine kinase inhibitor neratinib, and highlight the importance of clinical sequencing efforts in treating breast cancer.
21	https://civic.genome.wustl.edu#/events/genes/21/summary#gene	ESR1	2099	ESR1 has been a focus in breast cancer for quite some time, but is also clinically relevant in endometrial, ovarian and other cancer types. The identification of ER-positive breast cancers that are resistant to hormone therapy have inspired clinical sequencing efforts to shed light on the mechanisms of this resistance. A number of mutations in the ligand binding domain of ESR1 have been implicated in hormone resistance and anti-estrogen therapies. These observations have spurred efforts to develop therapeutics that stimulate ESR1 protein degradation (e.g. Fulvestrant), rather than acting as a small molecule antagonist. These agents are currently in clinical trials and have seen some success.
22	https://civic.genome.wustl.edu#/events/genes/22/summary#gene	FGFR2	2263	The FGFR proteins are involved in a wide array of pathways known to play a signficant role in cancer. Activation of these receptors can lead to activation of the RAS-MAPK pathway and the PI3K-AKT pathway, among others. The mechanisms by which FGFR can be misregulated vary between cancers. Amplification of the receptors has been observed in lung and breast cancers, coding mutations and deletions have been seen in many cancers, and more recently, FGFR fusions that lead to pathway actiation have been demonstrated to have oncogenic potential across multiple cancer types. The targeted therapeutics ponatinib, dovitinib and pazopanib have seen success in treating over-active FGFR signalling, prompting use of diagnostic sequencing targeting the FGFR genes, especially in lung cancer patients.
23	https://civic.genome.wustl.edu#/events/genes/23/summary#gene	FGFR3	2261	The FGFR proteins are involved in a wide array of pathways known to play a signficant role in cancer. Activation of these receptors can lead to activation of the RAS-MAPK pathway and the PI3K-AKT pathway, among others. The mechanisms by which FGFR can be misregulated vary between cancers. Amplification of the receptors has been observed in lung and breast cancers, coding mutations and deletions have been seen in many cancers, and more recently, FGFR fusions that lead to pathway actiation have been demonstrated to have oncogenic potential across multiple cancer types. The targeted therapeutics ponatinib, dovitinib and pazopanib have seen success in treating over-active FGFR signalling, prompting use of diagnostic sequencing targeting the FGFR genes, especially in lung cancer patients.
24	https://civic.genome.wustl.edu#/events/genes/24/summary#gene	FLT3	2322	FLT3 is an important cytokine receptor involved in normal hematopoiesis. Mutations in this gene are common in acute myeloid leukemia (AML) and screening for mutations in this gene has been recommended by the World Health Organization in patients with AML, particularly in cases of cytogenetically normal AML (CN-AML). FLT3 mutations commonly co-occur with mutations such as NPM1 that are associated with CN-AML and likely modulate prognostic impact. While FLT3-ITD mutations have been associated with poorer prognosis in AML, the prognostic impact of FLT3-TKD mutations are still up for debate.
25	https://civic.genome.wustl.edu#/events/genes/25/summary#gene	GATA2	2624	GATA2 is a transcription factor involved in stem cell maintenance with key roles in hematopoietic development. GATA2 mutations are associated with a variety of inherited and acquired immune disorders including myelodysplastic syndrome and acute myeloid leukemia. In addition to a role in hematopoiesis, the maintenance GATA2 expression has been implicated as a requirement in KRAS-driven non-small cell lung cancer. Preclinical models have indicated therapeutic benefit from targeting GATA2-mediated pathways in the context of KRAS-driven NSCLC.
26	https://civic.genome.wustl.edu#/events/genes/26/summary#gene	IDH1	3417	IDH1 mutations have been observed in a number of cancer types, including sarcomas, hematologic malignancies, colon cancer and brain cancer. Mutations in the two isocitrate dehydrogenase enzymes involved in cytoplasmic (IDH1) and mitochondrial (IDH2) conversion of alpha-ketoglutarate to D-2-hydroxyglutarate have been described as mutually exclusive in many of these cancer types. The most frequent mutations involve R132 (IDH1) and R172 (IDH2) involve the active site and result in neomorphic enzyme activity. The implications of mutations in this gene vary greatly by cancer type. In myelodysplastic syndromes and acute myeloid leukemia (AML), IDH1 mutations have been associated with worse outcome, shorter overall survival, and normal karyotype. However, in glioblastoma and astrocytoma, patients with IDH1 mutations have shown better overall survival than patients with wild-type IDH1. Unlike the association with cytogenetically normal AML, in glioblastoma, IDH1 mutations have been associated with specific cytogenetic abnormalities, 1p and 19q deletions.
27	https://civic.genome.wustl.edu#/events/genes/27/summary#gene	IDH2	3418	IDH2 mutations have been observed in a number of cancer types, including sarcomas, hematologic malignancies, colon cancer and brain cancer. Mutations in the two isocitrate dehydrogenase enzymes involved in cytoplasmic (IDH1) and mitochondrial (IDH2) conversion of alpha-ketoglutarate to D-2-hydroxyglutarate have been described as mutually exclusive in many of these cancer types. The most frequent mutations involve R132 (IDH1) and R172 (IDH2) involve the active site and result in neomorphic enzyme activity. Although IDH2 (R172) mutations are associated with poorer overall prognosis in AML patients, its utility as a prognostic marker in MDS is still under debate. Additionally, IDH2 (R140) has been associated with improved overall survival in AML. IDH2 mutations have been associated with improved prognosis in gliomas.
28	https://civic.genome.wustl.edu#/events/genes/28/summary#gene	JAK2	3717	JAK2 is a kinase that is misregulated or mutated in a number of myeloproliferative diseases and cancers. The mutation V617F is the most clinically relevant variant, and is seen in around half of myeloproliferative disorders. The variant is a known activating mutation, and activated JAK2 is sufficient to drive myeloproliferative disorders in mouse models. V617F, while most recurrent, is not the only mechanism by which JAK2 can be activated in patients. JAK2 is now one of the first diagnostic markers tested upon diagnosis with a myeloproliferative disorder.
29	https://civic.genome.wustl.edu#/events/genes/29/summary#gene	KIT	3815	c-KIT activation has been shown to have oncogenic activity in gastrointestinal stromal tumors (GISTs), melanomas, lung cancer, and other tumor types. The targeted therapeutics nilotinib and sunitinib have shown efficacy in treating KIT overactive patients, and are in late-stage trials in melanoma and GIST. KIT overactivity can be the result of many genomic events from genomic amplification to overexpression to missense mutations. Missense mutations have been shown to be key players in mediating clinical response and acquired resistance in patients being treated with these targeted therapeutics.
30	https://civic.genome.wustl.edu#/events/genes/30/summary#gene	KRAS	3845	Mutations in the RAS family of proteins are frequently observed across cancer types. The amino acid positions that account for the overwhelming majority of these mutations are G12, G13 and Q61. The different protein isoforms, despite their raw similarity, also behave very differently when expressed in non-native tissue types, likely due to differences in the C-terminal hyper-variable regions. Mis-regulation of isoform expression has been shown to be a driving event in cancer, as well as missense mutations at the three hotspots previously mentioned. While highly recurrent in cancer, attempts to target these RAS mutants with inhibitors have not been successful, and has not yet become common practice in the clinic.
31	https://civic.genome.wustl.edu#/events/genes/31/summary#gene	MAP2K1	5604	
33	https://civic.genome.wustl.edu#/events/genes/33/summary#gene	CSF1R	1436	
34	https://civic.genome.wustl.edu#/events/genes/34/summary#gene	MGMT	4255	
35	https://civic.genome.wustl.edu#/events/genes/35/summary#gene	NPM1	4869	AML with mutated NPM1 is a provisional entity in the WHO classification of AML and is recommended to be tested in patients with cytogenetically normal AML (CN-AML). FLT3 mutations should be evaluated concurrently as they have prognostic consequences. NPM1 mutations are concentrated in exon 12, most frequently W288fs which results in cytoplasmic sequestration of the protein. Exon 12 NPM1 mutations in the absence of FLT3-ITD are associated with good prognostic outcomes. Mice expressing the Npm1-W288fs mutation develop myeloproliferative neoplasms but not overt leukemia, indicating it may require additional mutations to promote leukemic development.
36	https://civic.genome.wustl.edu#/events/genes/36/summary#gene	NRAS	4893	Mutations in the RAS family of proteins have frequently observed across cancer types. The amino acid positions account for the overwhelming majority of these mutations, G12, G13 and Q61. The isoforms, despite their raw similarity, also behave very differently when expressed in non-native tissue types, likely due to differences in the C-terminal hyper-variable regions. Mis-regulation of isoform expression has been shown to be a driving event in cancer, as well as missense mutations at the three hotspots previously mentioned. While highly recurrent in cancer, targeted these RAS mutants has also been very elusive, and has not yet become common practice in the clinic.
37	https://civic.genome.wustl.edu#/events/genes/37/summary#gene	PIK3CA	5290	PIK3CA is the most recurrently mutated gene in breast cancer, and has been found to important in a number of cancer types. An integral part of the PI3K pathway, PIK3CA has long been described as an oncogene, with two main hotspots for activating mutations, the 542/545 region of the helical domain, and the 1047 region of the kinase domain. PIK3CA, and its interaction with the AKT and mTOR pathways, is the subject of an immense amount of research and development, and PI3K inhibition has seen some limited success in recent clinical trials. While monotherapies seem to be limited in their potential, there is a recent interest in pursuing PI3K inhibition as part of a combination therapy regiment with inhibition partners including TKI's, MEK inhibitors, PARP inhibitors, and in breast cancer, aromatase inhibitors.
38	https://civic.genome.wustl.edu#/events/genes/38/summary#gene	PDGFRA	5156	Commonly mutated in GI tract tumors, PDGFR family genes (mutually exclusive to KIT mutations) are a hallmark of gastrointestinal stromal tumors. Mutations in the 842 region of PDGFRA have been often found to confer resistance to the tyrosine kinase inhibitor, imatinib.
39	https://civic.genome.wustl.edu#/events/genes/39/summary#gene	PML	5371	The PML-RARA fusion is the result of a recurrent, balanced translocation between chromosomes 15 and 17, denoted as t(15;17)(q22;q12), and a diagnostic event in acute promyelocytic leukemia (APL). Both in vitro and in vivo studies have shown sensitivity to ATRA (all-trans retinoic acid) in APL patients harboring the PML-RARA fusion. Recent interest has been shown in combining ATRA and arsenic trioxide for treating these patients, and early results seem promising. Though point mutations in the B2 domain of PML may confer resistance to ATRA in these patients.
41	https://civic.genome.wustl.edu#/events/genes/41/summary#gene	PTEN	5728	PTEN is a multi-functional tumor suppressor that is very commonly lost in human cancer. Observed in prostate cancer, glioblastoma, endometrial, lung and breast cancer to varying degrees. Up to 70% of prostate cancer patients have been observed to have loss of expression of the gene. It is a part of the PI3K/AKT/mTOR pathway and mTOR inhibitors have been relatively ineffective in treating patients with PTEN loss. New appoaches using microRNAs are currently being investigated.
42	https://civic.genome.wustl.edu#/events/genes/42/summary#gene	RET	5979	RET mutations and the RET fusion RET-PTC lead to activation of this tyrosine kinase receptor and are associated with thyroid cancers. RET point mutations are the most common mutations identified in medullary thyroid cancer (MTC) with germline and somatic mutations in RET associated with hereditary and sporadic forms, respectively. The most common somatic form mutation is M918T (exon 16) and a variety of other mutations effecting exons 10, 11 and 15 have been described. The prognostic significance of these mutations have been hotly debated in the field, however, data suggests that some RET mutation may confer drug resistence. No RET-specific agents are currently clinically available but several promiscuous kinase inhibitors that target RET, among others, have been approved for MTC treatment.
43	https://civic.genome.wustl.edu#/events/genes/43/summary#gene	RUNX1	861	
44	https://civic.genome.wustl.edu#/events/genes/44/summary#gene	SF3B1	23451	SF3B1 mutations have been described in several myeloid malignancies, predominantly myelodysplastic syndromes (MDS), as well as other hematologic malignancies and breast cancer. SF3B1 is one of several genes involved in RNA splicing that has been identified as recurrently mutated in MDS and other malignanices. The mutations affecting SF3B1 are typically heterozygous, point mutations suspected to be functionally deleterious with K700E described as a major hotspot mutation. MDS patients with SF3B1 mutations have been reported to have better overall and event-free survival than their wildtype counterparts. Additionally, these mutations are highly associated with subtypes of MDS characterized by ringed sideroblasts (refractory anemia with ringed sideroblasts and refractory cytopenia with multilineage dysplasia and ring sideroblasts).
45	https://civic.genome.wustl.edu#/events/genes/45/summary#gene	TP53	7157	TP53 mutations are universal across cancer types. Loss of tumor suppressors is most recognized by large deleterious events, such as frameshift mutations, or premature stop codons. In TP53 however, many of the observed mutations in cancer are found to be single nucleotide variants, or missense mutations. These variants are also very broadly distributed throughout the gene, not localizing in any particular hotspot. While a large proportion of cancer genomics research is focused on somatic variants, TP53 is also of note in the germline. Germline TP53 mutations are the hallmark of Li-Fraumeni syndrome, and many (both germline and somatic) have been found to have prognostic impact on patient outcomes.
46	https://civic.genome.wustl.edu#/events/genes/46/summary#gene	TSC1	7248	
47	https://civic.genome.wustl.edu#/events/genes/47/summary#gene	TSC2	7249	
48	https://civic.genome.wustl.edu#/events/genes/48/summary#gene	U2AF1	7307	U2AF1 is one of several spliceosome complex genes frequently mutated in a variety of hematologic malignancies, particularly de novo myelodysplastic syndromes (MDS), as well as solid tumors such as lung and pancreatic cancers. Two hotspot mutations (S34 and Q157) occur within the two zinc-finger domains of the U2AF1 protein. These mutations have been associated with altered splicing patterns in vitro and in vivo. U2AF1 mutations in MDS have been associated with an increased risk of transformation to secondary acute myeloid leukemia, however, the impact of these mutations on overall survival has been an area of debate.
49	https://civic.genome.wustl.edu#/events/genes/49/summary#gene	WT1	7490	WT1 is a tumor suppressor gene associated with the development of Wilms' Tumor, from which it was named. Mutations in exon 7 and 9 of WT1 have been recurrently identified in acute myeloid leukemia and associated with poorer prognosis and chemotherapy resistance.
50	https://civic.genome.wustl.edu#/events/genes/50/summary#gene	NOTCH1	4851	
51	https://civic.genome.wustl.edu#/events/genes/51/summary#gene	DDR2	4921	
52	https://civic.genome.wustl.edu#/events/genes/52/summary#gene	MET	4233	
53	https://civic.genome.wustl.edu#/events/genes/53/summary#gene	FLI1	2313	
55	https://civic.genome.wustl.edu#/events/genes/55/summary#gene	TET2	54790	
56	https://civic.genome.wustl.edu#/events/genes/56/summary#gene	FOXP1	27086	
57	https://civic.genome.wustl.edu#/events/genes/57/summary#gene	REL	5966	
58	https://civic.genome.wustl.edu#/events/genes/58/summary#gene	VHL	7428	
59	https://civic.genome.wustl.edu#/events/genes/59/summary#gene	BCL2	596	
60	https://civic.genome.wustl.edu#/events/genes/60/summary#gene	IGF2	3481	
61	https://civic.genome.wustl.edu#/events/genes/61/summary#gene	AURKA	6790	
62	https://civic.genome.wustl.edu#/events/genes/62/summary#gene	PBRM1	55193	
63	https://civic.genome.wustl.edu#/events/genes/63/summary#gene	EZH2	2146	
64	https://civic.genome.wustl.edu#/events/genes/64/summary#gene	KMT2D	8085	
65	https://civic.genome.wustl.edu#/events/genes/65/summary#gene	BTK	695	
66	https://civic.genome.wustl.edu#/events/genes/66/summary#gene	APC	324	
67	https://civic.genome.wustl.edu#/events/genes/67/summary#gene	AR	367	
68	https://civic.genome.wustl.edu#/events/genes/68/summary#gene	ASXL1	171023	
69	https://civic.genome.wustl.edu#/events/genes/69/summary#gene	ATM	472	ATM is a DNA-damage response gene that is commonly mutated in cancer. Germline mutations in this gene are thought to contribute to breast cancer susceptibility, and PARP inhibition is currently being studied for it's potential in treating these patients.
70	https://civic.genome.wustl.edu#/events/genes/70/summary#gene	BAP1	8314	
71	https://civic.genome.wustl.edu#/events/genes/71/summary#gene	ERG	2078	
72	https://civic.genome.wustl.edu#/events/genes/72/summary#gene	FOXL2	668	
73	https://civic.genome.wustl.edu#/events/genes/73/summary#gene	IKZF1	10320	
74	https://civic.genome.wustl.edu#/events/genes/74/summary#gene	NCOA3	8202	
75	https://civic.genome.wustl.edu#/events/genes/75/summary#gene	PAX8	7849	
76	https://civic.genome.wustl.edu#/events/genes/76/summary#gene	PGR	5241	
77	https://civic.genome.wustl.edu#/events/genes/77/summary#gene	SMAD4	4089	
78	https://civic.genome.wustl.edu#/events/genes/78/summary#gene	SMARCA4	6597	
79	https://civic.genome.wustl.edu#/events/genes/79/summary#gene	TERT	7015	
80	https://civic.genome.wustl.edu#/events/genes/80/summary#gene	TTF1	7270	
254	https://civic.genome.wustl.edu#/events/genes/254/summary#gene	AKT2	208	
259	https://civic.genome.wustl.edu#/events/genes/259/summary#gene	ALCAM	214	
355	https://civic.genome.wustl.edu#/events/genes/355/summary#gene	BIRC5	332	
389	https://civic.genome.wustl.edu#/events/genes/389/summary#gene	AREG	374	
446	https://civic.genome.wustl.edu#/events/genes/446/summary#gene	ASNS	440	
524	https://civic.genome.wustl.edu#/events/genes/524/summary#gene	ATR	545	
761	https://civic.genome.wustl.edu#/events/genes/761/summary#gene	CASP8	841	
776	https://civic.genome.wustl.edu#/events/genes/776/summary#gene	CBFB	865	CBFB has been shown to be mutated in estrogen receptor positive breast cancer, although the significance of many of these mutations is yet to be determined. The CBFB-MYH11 fusion is a commonly accepted marker of favorable prognosis in acute myeloid leukemia.
855	https://civic.genome.wustl.edu#/events/genes/855/summary#gene	CD44	960	
913	https://civic.genome.wustl.edu#/events/genes/913/summary#gene	CDKN1A	1026	
914	https://civic.genome.wustl.edu#/events/genes/914/summary#gene	CDKN1B	1027	
927	https://civic.genome.wustl.edu#/events/genes/927/summary#gene	CDX2	1045	
1428	https://civic.genome.wustl.edu#/events/genes/1428/summary#gene	DEFA1	1667	
1463	https://civic.genome.wustl.edu#/events/genes/1463/summary#gene	NQO1	1728	
1510	https://civic.genome.wustl.edu#/events/genes/1510/summary#gene	DNMT1	1786	
1567	https://civic.genome.wustl.edu#/events/genes/1567/summary#gene	DUSP6	1848	
1627	https://civic.genome.wustl.edu#/events/genes/1627/summary#gene	EFNA2	1943	
1634	https://civic.genome.wustl.edu#/events/genes/1634/summary#gene	EGF	1950	
1655	https://civic.genome.wustl.edu#/events/genes/1655/summary#gene	EIF4EBP1	1978	
1705	https://civic.genome.wustl.edu#/events/genes/1705/summary#gene	EPAS1	2034	
1721	https://civic.genome.wustl.edu#/events/genes/1721/summary#gene	EPHB4	2050	
1733	https://civic.genome.wustl.edu#/events/genes/1733/summary#gene	ERBB3	2065	
1734	https://civic.genome.wustl.edu#/events/genes/1734/summary#gene	ERBB4	2066	ErbB4 (HER4) is one of the four members in the EGFR subfamily of receptor tyrosine kinases. Ligands include EGF, epiregulin, betacellulin and the neuregulins (Sundvall et. al.). Of these, NRG3 and NRG4 exclusively bind HER4 (Hynes et. al.).  Mutations in ERBB4 have been identified in various cancer types including melanoma, lung adenocarcinoma and medulloblastoma. A therapeutic value of these aberrations still remains unknown (Arteaga et. al.).
1735	https://civic.genome.wustl.edu#/events/genes/1735/summary#gene	ERCC1	2067	
1736	https://civic.genome.wustl.edu#/events/genes/1736/summary#gene	ERCC2	2068	
1737	https://civic.genome.wustl.edu#/events/genes/1737/summary#gene	EREG	2069	
1741	https://civic.genome.wustl.edu#/events/genes/1741/summary#gene	ERCC5	2073	
1763	https://civic.genome.wustl.edu#/events/genes/1763/summary#gene	ETS2	2114	
1842	https://civic.genome.wustl.edu#/events/genes/1842/summary#gene	FCGR2A	2212	
1843	https://civic.genome.wustl.edu#/events/genes/1843/summary#gene	FCGR2B	2213	
1844	https://civic.genome.wustl.edu#/events/genes/1844/summary#gene	FCGR3A	2214	
1883	https://civic.genome.wustl.edu#/events/genes/1883/summary#gene	FGF13	2258	
1885	https://civic.genome.wustl.edu#/events/genes/1885/summary#gene	FGFR1	2260	FGFR1 is a member of the Fibroblast Growth Factor family, comprising of 4 receptors and 18 Ligands.  FGFR1 signalling downstream functions mainly via PI3K and MAPK pathways (Turner et. al.). Several ways of involvement of FGFR1 in cancer have been proposed: auto- and paracrine activation, amplification and overexpression (Marshall et. al,  Weiss et. al.,  Cheng et. al.). Especially amplification of FGFR1 in lung cancer is an emerging treatment target with clinical studies currently ongoing (e.g. NCT01004224). However, FGFR1 amplification does not always correlate with protein expression and predictive biomarkers still remain to be defined in clinic (von Mässenhausen et. al.). Mutation of FGFR1 seems to be less common, but has recently been described by Agelopoulos et. al. in Ewing Sarcoma.
1950	https://civic.genome.wustl.edu#/events/genes/1950/summary#gene	FNTB	2342	
2073	https://civic.genome.wustl.edu#/events/genes/2073/summary#gene	MTOR	2475	mTOR deregulation has been observed in many cancer types. As a part of the PI3K/Akt pathway, there is a broad interest in mTOR biology across cancer types. mTOR inhibition has been investigated for nearly a decade. Everolimus, temsirolimus and zotarolimus are three of the more commonly used mTOR inhibitors used in clinical treatment today, with modest success.
2308	https://civic.genome.wustl.edu#/events/genes/2308/summary#gene	GNA11	2767	
2317	https://civic.genome.wustl.edu#/events/genes/2317/summary#gene	GNAQ	2776	
2473	https://civic.genome.wustl.edu#/events/genes/2473/summary#gene	GSTP1	2950	
